"ID","between_subject_condition","mid_logical","mid_type1","mid_type2","edge_logical","edge_type1","edge_type2"
2919,"ties_not_allowed",1,1,4,2,0,4
2921,"ties_not_allowed",2,1,3,6,0,0
2922,"ties_not_allowed",1,5,0,4,0,2
2924,"ties_not_allowed",6,0,0,4,0,2
2926,"ties_not_allowed",3,1,2,5,0,1
2927,"ties_not_allowed",4,0,2,5,0,1
2932,"ties_not_allowed",3,2,1,4,0,2
2935,"ties_not_allowed",5,1,0,4,0,2
2936,"ties_not_allowed",3,2,1,3,1,2
2940,"ties_not_allowed",2,3,1,6,0,0
2942,"ties_not_allowed",5,0,1,6,0,0
2947,"ties_not_allowed",3,2,1,5,0,1
2948,"ties_not_allowed",5,0,1,6,0,0
2950,"ties_not_allowed",4,2,0,4,1,1
2951,"ties_not_allowed",4,1,1,6,0,0
2954,"ties_not_allowed",0,2,4,3,1,2
2960,"ties_not_allowed",2,3,1,4,0,2
2961,"ties_not_allowed",4,0,2,4,0,2
2962,"ties_not_allowed",5,1,0,4,0,2
2966,"ties_not_allowed",4,1,1,6,0,0
2970,"ties_not_allowed",4,2,0,2,1,3
2971,"ties_not_allowed",2,3,1,4,0,2
2972,"ties_not_allowed",3,0,3,5,0,1
2973,"ties_not_allowed",3,2,1,4,0,2
2975,"ties_not_allowed",6,0,0,6,0,0
2977,"ties_not_allowed",2,0,4,4,0,2
2978,"ties_not_allowed",1,0,5,4,0,2
2979,"ties_not_allowed",4,1,1,5,0,1
2983,"ties_not_allowed",1,5,0,4,0,2
2985,"ties_not_allowed",5,0,1,5,0,1
2987,"ties_not_allowed",5,0,1,6,0,0
2991,"ties_not_allowed",0,5,1,5,0,1
2993,"ties_not_allowed",3,0,3,4,0,2
3000,"ties_not_allowed",3,1,2,5,0,1
3002,"ties_not_allowed",1,2,3,6,0,0
3003,"ties_not_allowed",6,0,0,6,0,0
3004,"ties_not_allowed",0,1,5,6,0,0
3006,"ties_not_allowed",0,1,5,4,0,2
3007,"ties_not_allowed",1,1,4,3,0,3
3008,"ties_not_allowed",4,0,2,3,0,3
3013,"ties_not_allowed",3,1,2,6,0,0
3014,"ties_not_allowed",3,0,3,3,0,3
3017,"ties_not_allowed",1,1,4,5,0,1
3018,"ties_not_allowed",3,1,2,5,0,1
3025,"ties_not_allowed",4,0,2,6,0,0
3027,"ties_not_allowed",4,1,1,3,0,3
3029,"ties_not_allowed",4,1,1,4,0,2
3031,"ties_not_allowed",4,0,2,5,0,1
3032,"ties_not_allowed",2,0,4,4,1,1
3035,"ties_not_allowed",2,1,3,3,0,3
3036,"ties_not_allowed",2,0,4,4,0,2
3037,"ties_not_allowed",6,0,0,6,0,0
3040,"ties_not_allowed",3,1,2,1,1,4
3042,"ties_not_allowed",6,0,0,5,0,1
3043,"ties_not_allowed",2,2,2,6,0,0
3045,"ties_not_allowed",3,0,3,5,0,1
3047,"ties_not_allowed",4,0,2,5,0,1
3048,"ties_not_allowed",3,1,2,5,0,1
3049,"ties_not_allowed",5,0,1,5,0,1
3051,"ties_not_allowed",4,1,1,3,0,3
3053,"ties_not_allowed",3,1,2,3,0,3
3054,"ties_not_allowed",2,1,3,3,0,3
3055,"ties_not_allowed",3,0,3,5,0,1
3057,"ties_not_allowed",1,4,1,4,2,0
3062,"ties_not_allowed",2,2,2,6,0,0
3065,"ties_not_allowed",1,0,5,3,0,3
3069,"ties_not_allowed",4,0,2,6,0,0
3071,"ties_not_allowed",4,0,2,6,0,0
3072,"ties_not_allowed",3,2,1,6,0,0
3075,"ties_not_allowed",3,0,3,6,0,0
3076,"ties_not_allowed",2,2,2,6,0,0
3078,"ties_not_allowed",1,3,2,5,0,1
3089,"ties_not_allowed",4,1,1,4,0,2
3094,"ties_not_allowed",6,0,0,6,0,0
3099,"ties_not_allowed",5,1,0,4,0,2
3105,"ties_not_allowed",3,0,3,6,0,0
3106,"ties_not_allowed",4,2,0,6,0,0
3108,"ties_not_allowed",2,1,3,4,0,2
3116,"ties_not_allowed",3,1,2,4,0,2
3117,"ties_not_allowed",3,2,1,5,0,1
3127,"ties_not_allowed",1,2,3,4,1,1
3128,"ties_not_allowed",3,0,3,6,0,0
3130,"ties_not_allowed",2,4,0,5,0,1
3132,"ties_not_allowed",6,0,0,6,0,0
3134,"ties_not_allowed",6,0,0,6,0,0
3136,"ties_not_allowed",2,3,1,4,0,2
