"mean_correct","mean_type1","mean_type2","mean_type3","event_types","sample_size","noise_term","check"
0.4811978,0.0357479002,0,0.4830543431,"mixed event sets",1,0,1.0000000433
0.3512866,0.0266777212,0.39345224,0.2285834369,"mixed event sets",2,0,0.9999999981
0.4448854,0.0212244094,0.40466156,0.1292286622,"mixed event sets",3,0,1.0000000316
0.5469703,0.0170275532,0.3552905,0.0807116048,"mixed event sets",4,0,0.999999958
0.6295951,0.0139086592,0.30232862,0.0541676556,"mixed event sets",5,0,1.0000000348
0.6929725,0.0115573819,0.25711743,0.0383526961,"mixed event sets",6,0,1.000000008
0.7414414,0.009759963,0.22048813,0.0283105321,"mixed event sets",7,0,1.0000000251
0.7789224,0.0083620018,0.19110964,0.0216059472,"mixed event sets",8,0,0.999999989
0.8083475,0.0072563509,0.16745142,0.0169447629,"mixed event sets",9,0,1.0000000338
0.8318112,0.0063680326,0.14822664,0.0135940857,"mixed event sets",10,0,0.9999999583
0.8508015,0.0056439978,0.13243754,0.0111169168,"mixed event sets",11,0,0.9999999546
0.8663834,0.0050461278,0.11932922,0.0092412286,"mixed event sets",12,0,0.9999999764
0.8793292,0.0045465953,0.1083328,0.0077914012,"mixed event sets",13,0,0.9999999965
0.8902071,0.0041247675,0.09901765,0.0066504504,"mixed event sets",14,0,0.9999999679
0.8994415,0.0037651174,0.09105508,0.0057383032,"mixed event sets",15,0,1.0000000006
0.9073536,0.0034557976,0.08419173,0.0049988285,"mixed event sets",16,0,0.9999999561
0.9141902,0.0031876506,0.07823035,0.0043918401,"mixed event sets",17,0,1.0000000407
0.9201427,0.0029535133,0.07301579,0.0038880204,"mixed event sets",18,0,1.0000000237
0.9253619,0.0027477197,0.0684248,0.0034656176,"mixed event sets",19,0,1.0000000373
0.9299674,0.0025657423,0.06435859,0.003108245,"mixed event sets",20,0,0.9999999773
0.9465922,0.001906215,0.0495575,0.001944071,"mixed event sets",25,0,0.999999986
0.9568152,0.0014992764,0.04035195,0.001333602,"mixed event sets",30,0,1.0000000284
0.9636512,0.0012272524,0.03414651,0.0009750796,"mixed event sets",35,0,1.000000042
0.9685093,0.001034463,0.0297094,0.0007467974,"mixed event sets",40,0,0.9999999604
0.9721245,0.0008916427,0.02639141,0.0005923951,"mixed event sets",45,0,0.9999999478
0.9749131,0.0007821272,0.02382176,0.0004829708,"mixed event sets",50,0,0.999999958
