"","sample_size","prob_type1","prob_type2","prob_type3","prob_correct"
"1",1,0.01164911,0,0.2578886,0.7304623
"2",2,0.005844274,0.3288773,0.07438332,0.5908951
"3",3,0.003343307,0.4328266,0.02886313,0.5349669
"4",4,0.002057205,0.4772276,0.0133968,0.5073184
"5",5,0.001341718,0.4967439,0.007047932,0.4948664
"6",6,0.0009167103,0.5037941,0.004060404,0.4912288
"7",7,0.0006503624,0.5039896,0.002505049,0.4928549
"8",8,0.0004758561,0.5002394,0.001629802,0.497655
"9",9,0.0003572389,0.4941809,0.001106137,0.5043557
"10",10,0.0002740968,0.486787,0.0007769872,0.5121619
"11",11,0.0002142907,0.4786564,0.0005615773,0.5205677
"12",12,0.0001703085,0.4701662,0.0004157907,0.5292477
"13",13,0.0001373398,0.4615575,0.0003142902,0.5379909
"14",14,0.0001122108,0.4529846,0.0002418918,0.5466613
"15",15,9.277317e-05,0.4445463,0.0001891591,0.5551718
"16",16,7.753913e-05,0.4363044,0.0001500406,0.563468
"17",17,6.545768e-05,0.4282964,0.0001205485,0.5715176
"18",18,5.577309e-05,0.4205432,9.799105e-05,0.579303
"19",19,4.793328e-05,0.4130547,8.051272e-05,0.5868168
"20",20,4.152915e-05,0.4058334,6.680989e-05,0.5940582
